Festo,DST
-230.3,-98.0
-230.3,-98.0
-230.3,-98.0
-230.3,-98.0
-230.3,-97.8
-230.4,-97.8
-230.3,-97.8
-230.4,-97.8
-230.4,-97.8
-230.5,-97.9
-230.6,-97.9
-230.6,-97.9
-230.6,-97.9
-230.6,-97.9
-230.5,-98.0
-230.5,-98.1
-230.5,-98.1
-230.4,-98.1
-230.4,-98.0
-230.1,-97.9
-230.1,-97.9
-230.0,-97.9
-229.9,-97.8
-230.0,-97.8
-230.1,-97.8
-230.3,-97.9
-230.6,-97.9
-230.6,-97.9
-230.6,-97.9
-230.4,-97.8
-230.1,-97.7
-230.0,-97.6
-229.8,-97.6
-229.7,-97.6
-229.7,-97.6
-229.9,-97.6
-230.1,-97.7
-230.4,-97.7
-230.7,-97.8
-230.6,-97.8
-230.6,-97.7
-230.7,-97.7
-230.6,-97.6
-230.6,-97.6
-230.6,-97.6
-230.6,-97.6
-230.6,-97.6
-230.6,-97.7
-230.6,-97.7
-230.6,-97.8
-230.5,-97.8
-230.5,-97.8
-230.5,-97.8
-230.5,-97.8
-230.4,-97.9
-230.4,-98.0
-230.3,-98.1
-230.2,-98.1
-230.2,-98.1
-230.2,-98.1
-230.1,-98.0
-230.1,-97.9
-230.2,-97.9
-230.2,-97.9
-230.2,-98.0
-230.2,-98.1
-230.1,-98.2
-230.1,-98.3
-230.3,-98.4
-230.3,-98.4
-230.4,-98.4
-230.5,-98.5
-230.4,-98.6
-230.5,-98.8
-230.5,-99.1
-230.4,-99.3
-230.4,-99.6
-230.4,-99.7
-230.3,-99.9
-230.2,-100.2
-230.2,-100.5
-230.0,-100.6
-230.0,-100.8
-230.2,-100.8
-230.1,-100.8
-230.3,-100.5
-230.4,-100.2
-230.3,-99.9
-230.4,-99.6
-230.3,-99.6
-230.2,-99.6
-230.2,-99.9
-230.1,-100.3
-230.0,-100.8
-230.0,-101.2
-229.9,-101.4
-230.0,-101.4
-230.1,-101.4
-230.1,-101.2
-230.2,-101.0
-230.2,-100.8
-230.2,-100.5
-230.5,-100.3
-230.6,-100.3
-230.7,-100.3
-230.7,-100.2
-230.6,-100.4
-230.6,-100.3
-230.6,-100.2
-230.5,-100.2
-230.4,-100.0
-230.3,-100.0
-230.3,-99.9
-230.4,-99.8
