Ohne Medium_RI0,3_FA0,1_NL100;12500 mPas_RI0,3_FA0,1_NL100_1bar;100000 mPas_RI0,3_FA0,1_NL100_3 bar
-133,80;568,4346622;-85,12315621
-134,63;568,4346622;-84,29680622
-137,11;568,4346622;-86,77550041
-132,98;560,4585628;-84,29680622
-132,98;563,6415909;-86,77550041
-132,98;558,8707428;-87,60150253
-134,63;557,2853802;-86,77550041
-132,98;558,8707428;-87,60150253
-135,45;560,4585628;-86,77550041
-136,28;557,2853802;-88,42739663
-134,63;552,5439969;-85,12315621
-134,63;558,8707428;-85,12315621
-133,80;558,8707428;-83,47033234
-136,28;560,4585628;-81,81699711
-132,98;560,4585628;-81,81699711
-134,63;566,8344959;-80,16311881
-134,63;562,0488442;-83,47033234
-134,63;557,2853802;-80,99012782
-134,63;562,0488442;-82,64373063
-133,80;562,0488442;-81,81699711
-134,63;563,6415909;-81,81699711
-133,80;560,4585628;-82,64373063
-133,80;562,0488442;-85,12315621
-133,80;560,4585628;-86,77550041
-133,80;560,4585628;-84,29680622
-132,15;565,2368068;-86,77550041
-132,98;563,6415909;-86,77550041
-134,63;560,4585628;-85,94938629
-130,50;554,1220112;-85,12315621
-131,32;562,0488442;-85,94938629
-132,15;560,4585628;-88,42739663
-135,45;562,0488442;-84,29680622
-133,80;565,2368068;-85,12315621
-133,80;563,6415909;-84,29680622
-134,63;560,4585628;-85,94938629
-132,98;557,2853802;-81,81699711
-134,63;563,6415909;-84,29680622
-134,63;560,4585628;-85,94938629
-136,28;562,0488442;-84,29680622
-132,15;560,4585628;-85,12315621
-134,63;563,6415909;-84,29680622
-135,45;563,6415909;-86,77550041
-133,80;560,4585628;-84,29680622
-132,98;565,2368068;-85,12315621
-133,80;560,4585628;-84,29680622
-138,76;560,4585628;-81,81699711
-137,11;562,0488442;-81,81699711
-137,11;566,8344959;-80,99012782
-134,63;568,4346622;-82,64373063
-134,63;563,6415909;-80,16311881
-132,15;565,2368068;-82,64373063
-133,80;563,6415909;-82,64373063
-136,28;563,6415909;-85,12315621
-132,15;560,4585628;-84,29680622
-134,63;562,0488442;-85,12315621
-134,63;560,4585628;-88,42739663
-137,93;560,4585628;-85,12315621
-136,28;562,0488442;-84,29680622
-135,45;562,0488442;-83,47033234
-135,45;558,8707428;-84,29680622
-133,80;557,2853802;-81,81699711
-134,63;563,6415909;-85,12315621
-136,28;562,0488442;-87,60150253
-138,76;565,2368068;-85,94938629
-137,11;563,6415909;-86,77550041
-139,59;563,6415909;-84,29680622
-140,41;562,0488442;-85,12315621
-138,76;558,8707428;-80,99012782
-137,11;562,0488442;-81,81699711
-137,11;560,4585628;-83,47033234
-139,59;560,4585628;-82,64373063
-136,28;560,4585628;-84,29680622
-136,28;563,6415909;-83,47033234
-133,80;562,0488442;-85,94938629
-134,63;557,2853802;-80,99012782
-133,80;560,4585628;-81,81699711
-136,28;558,8707428;-81,81699711
-137,11;558,8707428;-82,64373063
-133,80;554,1220112;-82,64373063
-133,80;563,6415909;-82,64373063
-133,80;560,4585628;-84,29680622
-132,98;558,8707428;-80,99012782
-131,32;558,8707428;-83,47033234
-133,80;558,8707428;-84,29680622
-134,63;562,0488442;-84,29680622
-132,15;558,8707428;-81,81699711
-132,15;565,2368068;-84,29680622
-132,98;563,6415909;-85,94938629
-135,45;563,6415909;-82,64373063
-132,98;560,4585628;-82,64373063
-132,98;562,0488442;-82,64373063
-132,15;562,0488442;-83,47033234
-131,32;557,2853802;-80,99012782
-130,50;563,6415909;-80,99012782
-132,15;560,4585628;-81,81699711
-134,63;563,6415909;-80,99012782
-132,15;562,0488442;-82,64373063
-133,80;565,2368068;-83,47033234
-133,80;560,4585628;-85,12315621
-134,63;557,2853802;-80,99012782
-132,98;562,0488442;-81,81699711
-134,63;560,4585628;-82,64373063
-135,45;560,4585628;-84,29680622
-130,50;560,4585628;-84,29680622
-132,15;563,6415909;-85,12315621
-132,98;562,0488442;-86,77550041
-133,80;560,4585628;-84,29680622
-131,32;563,6415909;-86,77550041
-131,32;563,6415909;-85,94938629
-132,15;563,6415909;-85,94938629
-132,15;558,8707428;-84,29680622
-132,15;563,6415909;-84,29680622
-130,50;560,4585628;-86,77550041
-132,15;557,2853802;-83,47033234
-129,67;560,4585628;-84,29680622
-130,50;562,0488442;-83,47033234
-130,50;558,8707428;-85,94938629
-130,50;554,1220112;-84,29680622
-130,50;558,8707428;-85,12315621
-133,80;557,2853802;-83,47033234
-137,11;560,4585628;-80,99012782
-132,98;560,4585628;-81,81699711
-132,98;563,6415909;-81,81699711
-132,15;560,4585628;-84,29680622
-132,98;557,2853802;-80,99012782
-132,98;565,2368068;-83,47033234
-134,63;563,6415909;-81,81699711
-137,11;563,6415909;-81,81699711
-133,80;563,6415909;-81,81699711
-133,80;568,4346622;-81,81699711
-133,80;563,6415909;-82,64373063
-136,28;563,6415909;-79,33596611
-133,80;566,8344959;-81,81699711
-134,63;565,2368068;-81,81699711
-136,28;563,6415909;-81,81699711
-134,63;557,2853802;-80,99012782
-134,63;562,0488442;-82,64373063
-133,80;560,4585628;-84,29680622
-137,11;560,4585628;-81,81699711
-134,63;563,6415909;-84,29680622
-135,45;565,2368068;-84,29680622
-134,63;566,8344959;-85,12315621
-132,15;560,4585628;-82,64373063
-129,67;565,2368068;-82,64373063
-130,50;565,2368068;-84,29680622
-133,80;566,8344959;-82,64373063
-132,15;563,6415909;-82,64373063
-133,80;560,4585628;-81,81699711
-132,98;557,2853802;-81,81699711
-132,98;554,1220112;-79,33596611
-132,15;558,8707428;-81,81699711
-132,98;555,7024709;-81,81699711
-134,63;555,7024709;-80,99012782
-131,32;554,1220112;-81,81699711
-132,15;558,8707428;-82,64373063
-132,15;554,1220112;-85,94938629
-132,15;552,5439969;-82,64373063
-131,32;557,2853802;-85,12315621
-133,80;557,2853802;-84,29680622
-134,63;558,8707428;-85,12315621
-133,80;555,7024709;-84,29680622
-133,80;558,8707428;-85,94938629
-133,80;555,7024709;-87,60150253
-135,45;554,1220112;-83,47033234
-131,32;558,8707428;-85,94938629
-132,15;558,8707428;-86,77550041
-133,80;558,8707428;-86,77550041
-132,98;555,7024709;-84,29680622
-132,15;560,4585628;-84,29680622
-132,15;557,2853802;-85,94938629
-135,45;562,0488442;-83,47033234
-132,15;558,8707428;-83,47033234
-132,98;558,8707428;-81,81699711
-132,98;558,8707428;-83,47033234
-132,98;555,7024709;-80,99012782
-132,15;560,4585628;-83,47033234
-133,80;563,6415909;-83,47033234
-136,28;565,2368068;-82,64373063
-133,80;562,0488442;-83,47033234
-134,63;565,2368068;-84,29680622
-133,80;563,6415909;-85,12315621
-134,63;560,4585628;-80,99012782
-132,15;563,6415909;-81,81699711
-133,80;562,0488442;-83,47033234
-135,45;560,4585628;-83,47033234
-133,80;560,4585628;-84,29680622
-132,98;563,6415909;-85,94938629
-132,98;566,8344959;-88,42739663
-135,45;563,6415909;-84,29680622
-132,98;566,8344959;-85,12315621
-133,80;566,8344959;-84,29680622
-132,98;563,6415909;-83,47033234
-131,32;560,4585628;-81,81699711
-130,50;566,8344959;-84,29680622
-131,32;565,2368068;-85,94938629
-134,63;566,8344959;-80,16311881
-132,98;563,6415909;-78,50866576
-134,63;562,0488442;-78,50866576
-134,63;555,7024709;-80,99012782
-135,45;552,5439969;-79,33596611
-133,80;555,7024709;-79,33596611
-133,80;555,7024709;-80,99012782
-134,63;558,8707428;-80,16311881
-132,98;555,7024709;-81,81699711
-133,80;557,2853802;-84,29680622
-132,98;555,7024709;-85,94938629
-133,80;554,1220112;-80,99012782
-132,15;557,2853802;-81,81699711
-133,80;554,1220112;-81,81699711
-133,80;552,5439969;-81,81699711
-132,15;547,8245873;-82,64373063
-131,32;550,9684241;-85,12315621
-131,32;550,9684241;-88,42739663
-132,98;552,5439969;-85,12315621
-130,50;554,1220112;-85,12315621
-132,15;554,1220112;-84,29680622
-132,98;554,1220112;-83,47033234
-132,15;549,3952889;-83,47033234
-132,15;552,5439969;-85,94938629
-132,98;552,5439969;-87,60150253
-136,28;552,5439969;-85,12315621
-133,80;554,1220112;-85,94938629
-134,63;555,7024709;-84,29680622
-133,80;554,1220112;-85,12315621
-134,63;550,9684241;-82,64373063
-133,80;557,2853802;-85,12315621
-133,80;558,8707428;-85,12315621
-135,45;560,4585628;-83,47033234
-133,80;560,4585628;-83,47033234
-135,45;560,4585628;-82,64373063
-134,63;557,2853802;-86,77550041
-136,28;555,7024709;-83,47033234
-133,80;563,6415909;-84,29680622
-133,80;565,2368068;-84,29680622
-132,98;563,6415909;-83,47033234
-131,32;563,6415909;-84,29680622
-131,32;566,8344959;-83,47033234
-132,15;562,0488442;-85,94938629
-136,28;558,8707428;-84,29680622
-132,98;562,0488442;-85,94938629
-132,98;560,4585628;-85,94938629
-131,32;560,4585628;-84,29680622
-129,67;555,7024709;-81,81699711
-130,50;562,0488442;-81,81699711
-130,50;560,4585628;-83,47033234
-132,98;560,4585628;-79,33596611
-129,67;557,2853802;-80,99012782
-131,32;560,4585628;-79,33596611
-130,50;560,4585628;-81,81699711
-132,15;558,8707428;-80,16311881
-131,32;565,2368068;-80,99012782
-133,80;566,8344959;-85,12315621
-135,45;568,4346622;-83,47033234
-132,98;563,6415909;-84,29680622
-132,98;563,6415909;-85,12315621
-132,98;560,4585628;-85,12315621
-132,98;555,7024709;-84,29680622
-130,50;562,0488442;-84,29680622
-131,32;560,4585628;-83,47033234
-132,15;562,0488442;-82,64373063
-130,50;560,4585628;-81,81699711
-130,50;566,8344959;-81,81699711
-131,32;562,0488442;-84,29680622
-132,15;563,6415909;-80,16311881
-128,85;566,8344959;-80,99012782
-130,50;565,2368068;-80,16311881
-130,50;563,6415909;-80,16311881
-130,50;560,4585628;-79,33596611
-130,50;566,8344959;-80,99012782
-129,67;562,0488442;-85,94938629
-131,32;555,7024709;-83,47033234
-128,85;554,1220112;-85,12315621
-131,32;554,1220112;-83,47033234
-132,98;557,2853802;-85,94938629
-132,98;552,5439969;-84,29680622
-132,98;562,0488442;-85,12315621
-133,80;562,0488442;-86,77550041
-134,63;563,6415909;-83,47033234
-133,80;562,0488442;-84,29680622
-134,63;562,0488442;-84,29680622
-134,63;562,0488442;-85,12315621
-136,28;560,4585628;-80,99012782
-132,15;568,4346622;-83,47033234
-132,98;566,8344959;-82,64373063
-134,63;568,4346622;-80,99012782
-133,80;563,6415909;-80,99012782
-133,80;565,2368068;-81,81699711
-132,98;563,6415909;-83,47033234
-135,45;562,0488442;-80,99012782
-132,15;566,8344959;-82,64373063
-134,63;563,6415909;-81,81699711
-133,80;563,6415909;-81,81699711
-133,80;560,4585628;-80,99012782
-132,98;562,0488442;-82,64373063
-132,15;560,4585628;-85,12315621
-132,98;560,4585628;-80,99012782
-129,67;560,4585628;-83,47033234
-130,50;558,8707428;-83,47033234
-131,32;557,2853802;-85,12315621
-132,15;557,2853802;-85,94938629
-131,32;562,0488442;-85,94938629
-130,50;558,8707428;-86,77550041
-133,80;557,2853802;-80,99012782
-132,15;557,2853802;-81,81699711
-133,80;558,8707428;-83,47033234
-133,80;555,7024709;-85,94938629
-136,28;554,1220112;-84,29680622
-134,63;558,8707428;-85,94938629
-135,45;558,8707428;-86,77550041
-136,28;558,8707428;-84,29680622
-133,80;558,8707428;-84,29680622
-134,63;558,8707428;-84,29680622
-134,63;560,4585628;-85,94938629
-136,28;560,4585628;-83,47033234
-132,98;568,4346622;-85,94938629
-134,63;563,6415909;-85,94938629
-136,28;562,0488442;-82,64373063
-136,28;557,2853802;-82,64373063
-137,11;562,0488442;-82,64373063
-136,28;558,8707428;-85,12315621
-138,76;557,2853802;-81,81699711
-134,63;560,4585628;-84,29680622
-136,28;560,4585628;-85,12315621
-135,45;558,8707428;-84,29680622
-134,63;552,5439969;-82,64373063
-133,80;557,2853802;-82,64373063
-133,80;557,2853802;-85,94938629
-135,45;560,4585628;-82,64373063
-132,15;562,0488442;-84,29680622
-132,98;563,6415909;-83,47033234
-132,98;562,0488442;-82,64373063
-134,63;558,8707428;-80,99012782
-133,80;563,6415909;-81,81699711
-135,45;562,0488442;-84,29680622
-136,28;560,4585628;-82,64373063
-132,98;557,2853802;-85,94938629
-133,80;560,4585628;-85,12315621
-133,80;560,4585628;-85,12315621
-135,45;560,4585628;-81,81699711
-132,98;563,6415909;-84,29680622
-133,80;560,4585628;-84,29680622
